"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28004","test","chromium","Tue May 20 00:12:31 IST 2025","passed","Tue May 20 00:12:59 IST 2025","","submitquote.spec.js","",""
"","13902","test","chromium","Tue Sep 09 21:30:36 IST 2025","failed","Tue Sep 09 21:30:50 IST 2025","","Pomtest.spec.js","",""
